name,organ_dice,organ_nsd,tumor_dice,tumor_nsd
liver_26,0.964677157111914,0.9336035708651826,0.8437750798285607,0.8839851080371871
liver_129,0.8683424052143845,0.7925740881644117,0.924061375093106,0.8533170191801269
liver_29,0.9716203568098903,0.9551874591757381,0.335476898135639,0.19581664524675318
liver_13,0.9656433195991407,0.9262529758535997,0.5764872840312661,0.6314661573734625
liver_66,0.9673445429568053,0.8726781610154531,0.6622004637979902,0.77947978927221
liver_42,0.9724136906691841,0.9707865528279096,0.7623074599818785,0.9300909696096389
liver_88,0.9386527093554661,0.9076659973310798,0.8444181804974488,0.6338853545967637
liver_73,0.9609906721184677,0.8452964790914672,0.5942307692307692,0.6461993019765319
liver_58,0.9665157728453729,0.9217674189061845,0.6174840085287846,0.7670691359858754
liver_82,0.9522105537781574,0.871521959439452,0.9039179422784257,0.8990050956567218
liver_98,0.8976617652697916,0.8354807254567784,0.9051218092430551,0.8656743521432602
liver_76,0.8972962421127715,0.7237856289762178,0.9104574403493134,0.8366815101857467
liver_71,0.897809368559666,0.7981395400902499,0.6379484564316137,0.37206499335631793
liver_112,0.9796585827504111,0.983406078764003,0.6410807491556647,0.8716399598551539
liver_128,0.9476001213485664,0.8823321885651484,0.8095398823076987,0.6872600858696484
liver_10,0.9734590898422328,0.9453855595495904,0.8393195382581037,0.9496553893098231
liver_22,0.9591063017453081,0.8756114185088956,0.6471323427301764,0.3670816882912146
liver_19,0.9668378159729817,0.889829787628859,0.5753983380346116,0.5591658249672283
liver_15,0.9748257334751625,0.9480551962271437,0.12971234589958908,0.20484087907950402
liver_97,0.9055489479964075,0.7819454871044278,0.8764504365123218,0.8644361308899433
liver_61,0.9547992403319626,0.7913660213983418,0.735707019328586,0.8222419531442894
liver_31,0.9671193956393558,0.9550254313736961,0.7789201422567087,0.8179582563830574
liver_86,0.9781609292935852,0.9676497939787412,0.3103949280147933,0.4620514486433412
average,"[0.964677157111914, 0.8683424052143845, 0.9716203568098903, 0.9656433195991407, 0.9673445429568053, 0.9724136906691841, 0.9386527093554661, 0.9609906721184677, 0.9665157728453729, 0.9522105537781574, 0.8976617652697916, 0.8972962421127715, 0.897809368559666, 0.9796585827504111, 0.9476001213485664, 0.9734590898422328, 0.9591063017453081, 0.9668378159729817, 0.9748257334751625, 0.9055489479964075, 0.9547992403319626, 0.9671193956393558, 0.9781609292935852]","[0.9336035708651826, 0.7925740881644117, 0.9551874591757381, 0.9262529758535997, 0.8726781610154531, 0.9707865528279096, 0.9076659973310798, 0.8452964790914672, 0.9217674189061845, 0.871521959439452, 0.8354807254567784, 0.7237856289762178, 0.7981395400902499, 0.983406078764003, 0.8823321885651484, 0.9453855595495904, 0.8756114185088956, 0.889829787628859, 0.9480551962271437, 0.7819454871044278, 0.7913660213983418, 0.9550254313736961, 0.9676497939787412]","[0.8437750798285607, 0.924061375093106, 0.335476898135639, 0.5764872840312661, 0.6622004637979902, 0.7623074599818785, 0.8444181804974488, 0.5942307692307692, 0.6174840085287846, 0.9039179422784257, 0.9051218092430551, 0.9104574403493134, 0.6379484564316137, 0.6410807491556647, 0.8095398823076987, 0.8393195382581037, 0.6471323427301764, 0.5753983380346116, 0.12971234589958908, 0.8764504365123218, 0.735707019328586, 0.7789201422567087, 0.3103949280147933]","[0.8839851080371871, 0.8533170191801269, 0.19581664524675318, 0.6314661573734625, 0.77947978927221, 0.9300909696096389, 0.6338853545967637, 0.6461993019765319, 0.7670691359858754, 0.8990050956567218, 0.8656743521432602, 0.8366815101857467, 0.37206499335631793, 0.8716399598551539, 0.6872600858696484, 0.9496553893098231, 0.3670816882912146, 0.5591658249672283, 0.20484087907950402, 0.8644361308899433, 0.8222419531442894, 0.8179582563830574, 0.4620514486433412]"
